file_name,short_title,long_title
"abc_news","ABC News","ABC New Photo Story"
"indigenous_heritage","Indigenous","Indigenous Heritage Site"
"no_smoking_areas","No Smoking","Smoke Free Location"
"public_memorials_and_sculptures","Memorials","Memorial or Sculpture"
"sports","Sports","Sports Ground"
"theatres_and_cinemas","Theatre","Theatre"
"galleries_and_museums","Galleries","Gallery or Museum"
"community_buildings","Community","Community Building"
"education_centres","Education","Education Centre"
"parks_and_gardens","Parks","Park or Garden"
"places_of_worship","Religious","Place of Worship"
"transport","Transport","Transportation "